"","States.Code","States","Year","total_cancer_count","avg_pm25_pop_pred","avg_o3_pop_pred"
"68",10,"Delaware",2009,747,10.0509044164698,39.0649418553374
"69",10,"Delaware",2010,741,9.92113409512556,43.7707338990335
"70",10,"Delaware",2011,820,9.33937039871282,41.0925006257297
"71",11,"District of Columbia",2002,378,14.9567632802427,39.9047391811747
"72",11,"District of Columbia",2003,377,14.3041450863836,34.8629351455132
"73",11,"District of Columbia",2004,341,14.7898686863956,35.3803999752246
"74",11,"District of Columbia",2005,349,14.8470720985025,36.8451765167952
"75",11,"District of Columbia",2006,352,13.6761924173976,39.1280241992186
"76",11,"District of Columbia",2007,328,13.6824036245114,40.5232133830027
"77",11,"District of Columbia",2008,328,12.2916621943509,38.156404553167
"78",11,"District of Columbia",2009,359,10.4768217871179,35.8872175133367
"79",11,"District of Columbia",2010,349,10.8560492400039,41.9427715242589
"80",11,"District of Columbia",2011,332,10.4318789893656,39.6549135625146
"81",12,"Florida",2002,16058,9.07103714193772,38.9562692334799
"82",12,"Florida",2003,16133,9.21916808682506,38.4206112568106
"83",12,"Florida",2004,16532,9.57338124692595,40.1433733921228
"84",12,"Florida",2005,16656,9.80617884652138,40.355055352748
"85",12,"Florida",2006,16461,9.46890201465765,42.9680747313193
"86",12,"Florida",2007,16401,9.55097494858927,41.5822372237974
"87",12,"Florida",2008,16798,8.19513095760589,39.0293219770757
"88",12,"Florida",2009,16853,7.62484360140525,37.4187792001912
"89",12,"Florida",2010,16831,8.11104324335214,39.5056596752901
"90",12,"Florida",2011,16591,7.88112070193071,39.3924444744675
"91",13,"Georgia",2002,5515,12.3323545477075,41.7434823239058
"92",13,"Georgia",2003,5542,12.0458185717334,39.9948443386547
"93",13,"Georgia",2004,5500,12.7685767844917,41.3121172065113
"94",13,"Georgia",2005,5651,13.305045147989,41.9738716839398
"95",13,"Georgia",2006,5877,12.8616434040524,44.6415075808127
"96",13,"Georgia",2007,6149,13.7234051871566,44.7819960184676
"97",13,"Georgia",2008,6239,11.6379537005023,42.3228781869974
"98",13,"Georgia",2009,6327,10.3257579419646,38.1808591814603
"99",13,"Georgia",2010,6084,11.1106415371439,41.9192520660803
"100",13,"Georgia",2011,6299,10.9130235495072,42.7464079353464
"101",16,"Idaho",2002,683,8.31175277798959,42.5499451483443
"102",16,"Idaho",2003,762,6.73508398803319,42.5439736117641
"103",16,"Idaho",2004,775,8.30272070706713,40.8921440248216
"104",16,"Idaho",2005,818,8.78380079052812,39.9633126945637
"105",16,"Idaho",2006,797,8.37864929916092,40.1505319289903
"106",16,"Idaho",2007,823,7.48296902171088,43.2352842100002
"107",16,"Idaho",2008,849,7.27543269135213,42.3005331903041
"108",16,"Idaho",2009,815,7.42146205959861,40.7792436715616
"109",16,"Idaho",2010,838,6.79431510236646,41.2143911519538
"110",16,"Idaho",2011,861,6.62555236280831,42.0013951395723
"111",17,"Illinois",2002,9041,13.2101156870876,39.5336236521869
"112",17,"Illinois",2003,9090,13.5632295269988,39.1945742835598
"113",17,"Illinois",2004,8881,11.8730173153495,36.7849149286976
"114",17,"Illinois",2005,9054,13.6122538909707,40.2027592371572
"115",17,"Illinois",2006,9281,12.1729012452804,37.5965395018256
"116",17,"Illinois",2007,9366,13.0224185780339,40.0596719258921
"117",17,"Illinois",2008,9401,11.7928950235705,37.3552827788397
"118",17,"Illinois",2009,9617,10.8013576341795,36.3967648422991
"119",17,"Illinois",2010,9301,11.3254784683666,39.6778051532588
"120",17,"Illinois",2011,9389,10.4856694453295,39.5490207931903
"121",18,"Indiana",2002,5078,14.9370500122154,41.8925176949216
"122",18,"Indiana",2003,5191,14.5743741245677,40.042709975428
"123",18,"Indiana",2004,5013,13.2843489721762,38.0680060099412
"124",18,"Indiana",2005,5170,15.2346664105092,40.8775581860689
"125",18,"Indiana",2006,5379,13.3544701534655,38.9291841661294
"126",18,"Indiana",2007,5338,14.1267869891897,41.6371576623774
"127",18,"Indiana",2008,5444,12.4468867071103,39.1186902950292
"128",18,"Indiana",2009,5396,11.6469321082019,36.7675467868422
"129",18,"Indiana",2010,5313,12.2421770960585,39.7481160106993
"130",18,"Indiana",2011,5425,11.0050734206592,39.0581550961891
"131",19,"Iowa",2002,2228,10.1830558264075,37.7411657824418
"132",19,"Iowa",2003,2346,10.9950087816312,37.8455540303568
"133",19,"Iowa",2004,2284,9.86365186636552,35.7866520071019
"134",19,"Iowa",2005,2421,11.0457492301167,38.3314198773235
"135",19,"Iowa",2006,2387,9.79882155795179,37.5262614635662
"136",19,"Iowa",2007,2416,11.1266675882323,37.6987457550307
"137",19,"Iowa",2008,2443,10.1714267000218,36.2823415276755
"138",19,"Iowa",2009,2473,9.74131866502279,35.5607673797699
"139",19,"Iowa",2010,2404,10.0368225782594,37.7260819803981
"140",19,"Iowa",2011,2367,9.47756914586436,38.0239735565889
"141",20,"Kansas",2002,1728,9.45979524384603,39.7595549317427
"142",20,"Kansas",2003,1833,9.89988370904262,40.0351336376676
"143",20,"Kansas",2004,1782,9.47544957756206,39.8270967683744
"144",20,"Kansas",2005,1908,10.0771581140008,42.3726832477656
"145",20,"Kansas",2006,1894,9.03674864829711,43.3386250505942
"146",20,"Kansas",2007,1929,9.90070425893983,40.738207403819
"147",20,"Kansas",2008,1927,8.91639868917841,40.1854566070353
"148",20,"Kansas",2009,1941,8.4584460678992,39.6124771798605
"149",20,"Kansas",2010,1865,8.31889873376009,41.6182864840729
"150",20,"Kansas",2011,1920,8.48878021097397,44.0902017991381
"151",21,"Kentucky",2002,4302,13.2063315080648,41.8701028897681
"152",21,"Kentucky",2003,4297,12.9191351136997,40.5395595580999
"153",21,"Kentucky",2004,4466,12.396262772748,38.6873199533115
"154",21,"Kentucky",2005,4461,13.7987540629261,41.9935814565177
"155",21,"Kentucky",2006,4592,12.8415136478832,41.0463793349995
"156",21,"Kentucky",2007,4612,13.6655241802171,44.6028884923415
"157",21,"Kentucky",2008,4803,11.8345071846325,42.1832594174157
"158",21,"Kentucky",2009,4752,10.6680586403108,38.1256810082446
"159",21,"Kentucky",2010,4914,11.5236483737936,42.6721920875825
